"filename", "language", "XML", "C#", "JavaScript", "PostCSS", "JSON", "Properties", "JavaScript JSX", "log", "ASP.NET Razor", "Dotenv", "Markdown", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Commands\UploadStoryMedia\UploadStoryMediaCommandHandler.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Stories\Queries\GetStoryTimeline\GetStoryTimelineQueryHandler.cs", "C#", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\GetTodayBirthdays\GetTodayBirthdaysQuery.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\GetTodayBirthdays\GetTodayBirthdaysQueryHandler.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\GetUpcomingBirthdays\GetUpcomingBirthdaysQuery.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\GetUpcomingBirthdays\GetUpcomingBirthdaysQueryHandler.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\IsBlockedByUserId\IsBlockedByUserIdQuery.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\IsBlockedByUserId\IsBlockedByUserIdQueryHandler.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\IsBlockingUser\IsBlockingUserQuery.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Users\Queries\IsBlockingUser\IsBlockingUserQueryHandler.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
